position,mlu,style,tempo,performer,division,division_follower,division_bigram,pattern,follower,bigram
1,lick,POSTBOP,UP,Steve Coleman,1,2,[1|2],1,11,[1|11]
2,lick,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1011,[11|1011]
3,lick,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,11,[1011|11]
4,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
5,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
6,lick,POSTBOP,UP,Steve Coleman,2,1,[2|1],11,1,[11|1]
7,lick,POSTBOP,UP,Steve Coleman,1,1,[1|1],1,1,[1|1]
8,lick,POSTBOP,UP,Steve Coleman,1,0,[1|0],1,0,[1|0]
1,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
2,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
3,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
4,line,POSTBOP,UP,Steve Coleman,2,3,[2|3],11,111,[11|111]
5,line,POSTBOP,UP,Steve Coleman,3,4,[3|4],111,11,[111|0011]
6,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],11,11,[0011|11]
7,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1011,[11|1011]
8,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,1,[1011|01]
9,line,POSTBOP,UP,Steve Coleman,2,3,[2|3],1,11,[01|011]
10,line,POSTBOP,UP,Steve Coleman,3,2,[3|2],11,1,[011|01]
11,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
12,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
13,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
14,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1011,[11|1011]
15,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,11,[1011|11]
16,line,POSTBOP,UP,Steve Coleman,2,3,[2|3],11,11,[11|011]
17,line,POSTBOP,UP,Steve Coleman,3,2,[3|2],11,11,[011|11]
18,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
19,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
20,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
21,line,POSTBOP,UP,Steve Coleman,2,1,[2|1],11,1,[11|1]
22,line,POSTBOP,UP,Steve Coleman,1,2,[1|2],1,1,[1|01]
23,line,POSTBOP,UP,Steve Coleman,2,0,[2|0],1,0,[01|0]
1,lick,POSTBOP,UP,Steve Coleman,4,2,[4|2],1101,1,[1101|01]
2,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,1,[01|01]
3,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
4,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,1,[11|01]
5,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
6,lick,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1001,[11|1001]
7,lick,POSTBOP,UP,Steve Coleman,4,2,[4|2],1001,1,[1001|01]
8,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,1,[01|01]
9,lick,POSTBOP,UP,Steve Coleman,2,1,[2|1],1,1,[01|1]
10,lick,POSTBOP,UP,Steve Coleman,1,1,[1|1],1,1,[1|1]
11,lick,POSTBOP,UP,Steve Coleman,1,0,[1|0],1,0,[1|0]
1,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
2,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,11,[11|0011]
3,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],11,1,[0011|01]
4,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,1,[01|01]
5,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
6,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
7,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1001,[11|1001]
8,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1001,11,[1001|11]
9,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
10,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
11,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
12,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
13,line,POSTBOP,UP,Steve Coleman,2,3,[2|3],11,111,[11|111]
14,line,POSTBOP,UP,Steve Coleman,3,2,[3|2],111,11,[111|11]
15,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
16,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
17,line,POSTBOP,UP,Steve Coleman,2,1,[2|1],11,1,[11|1]
18,line,POSTBOP,UP,Steve Coleman,1,2,[1|2],1,11,[1|11]
19,line,POSTBOP,UP,Steve Coleman,2,3,[2|3],11,11,[11|011]
20,line,POSTBOP,UP,Steve Coleman,3,2,[3|2],11,11,[011|11]
21,line,POSTBOP,UP,Steve Coleman,2,0,[2|0],11,0,[11|0]
1,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
2,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1011,[11|1011]
3,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,11,[1011|11]
4,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1011,[11|1011]
5,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,1,[1011|01]
6,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
7,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,1,[11|01]
8,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],1,1011,[01|1011]
9,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,11,[1011|11]
10,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,1,[11|01]
11,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],1,1011,[01|1011]
12,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,11,[1011|11]
13,line,POSTBOP,UP,Steve Coleman,2,0,[2|0],11,0,[11|0]
1,lick,POSTBOP,UP,Steve Coleman,4,2,[4|2],1,1,[0001|01]
2,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
3,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,1,[11|01]
4,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
5,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
6,lick,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1011,[11|1011]
7,lick,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,11,[1011|11]
8,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,1,[11|01]
9,lick,POSTBOP,UP,Steve Coleman,2,1,[2|1],1,1,[01|1]
10,lick,POSTBOP,UP,Steve Coleman,1,1,[1|1],1,1,[1|1]
11,lick,POSTBOP,UP,Steve Coleman,1,1,[1|1],1,1,[1|1]
12,lick,POSTBOP,UP,Steve Coleman,1,2,[1|2],1,1,[1|01]
13,lick,POSTBOP,UP,Steve Coleman,2,4,[2|4],1,1001,[01|1001]
14,lick,POSTBOP,UP,Steve Coleman,4,2,[4|2],1001,1,[1001|01]
15,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
16,lick,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1011,[11|1011]
17,lick,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,1,[1011|01]
18,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
19,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,1,[11|01]
20,lick,POSTBOP,UP,Steve Coleman,2,1,[2|1],1,1,[01|1]
21,lick,POSTBOP,UP,Steve Coleman,1,2,[1|2],1,11,[1|11]
22,lick,POSTBOP,UP,Steve Coleman,2,3,[2|3],11,11,[11|011]
23,lick,POSTBOP,UP,Steve Coleman,3,1,[3|1],11,1,[011|1]
24,lick,POSTBOP,UP,Steve Coleman,1,2,[1|2],1,1,[1|01]
25,lick,POSTBOP,UP,Steve Coleman,2,4,[2|4],1,1001,[01|1001]
26,lick,POSTBOP,UP,Steve Coleman,4,4,[4|4],1001,1,[1001|0001]
27,lick,POSTBOP,UP,Steve Coleman,4,2,[4|2],1,11,[0001|11]
28,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
29,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
30,lick,POSTBOP,UP,Steve Coleman,2,0,[2|0],11,0,[11|0]
1,line,POSTBOP,UP,Steve Coleman,3,2,[3|2],11,1,[011|01]
2,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],1,1011,[01|1011]
3,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,11,[1011|11]
4,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
5,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
6,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,1,[11|01]
7,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
8,line,POSTBOP,UP,Steve Coleman,2,0,[2|0],11,0,[11|0]
1,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
2,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
3,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
4,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,1,[11|01]
5,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
6,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
7,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
8,line,POSTBOP,UP,Steve Coleman,2,3,[2|3],11,111,[11|111]
9,line,POSTBOP,UP,Steve Coleman,3,4,[3|4],111,1,[111|0001]
10,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1,1,[0001|01]
11,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
12,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
13,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,11,[11|0011]
14,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],11,11,[0011|11]
15,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
16,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1011,[11|1011]
17,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,1,[1011|01]
18,line,POSTBOP,UP,Steve Coleman,2,3,[2|3],1,111,[01|111]
19,line,POSTBOP,UP,Steve Coleman,3,2,[3|2],111,1,[111|01]
20,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],1,1011,[01|1011]
21,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,11,[1011|11]
22,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
23,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,1,[11|01]
24,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],1,1001,[01|1001]
25,line,POSTBOP,UP,Steve Coleman,4,4,[4|4],1001,11,[1001|0011]
26,line,POSTBOP,UP,Steve Coleman,4,0,[4|0],11,0,[0011|0]
1,line,POSTBOP,UP,Steve Coleman,4,4,[4|4],1011,111,[1011|0111]
2,line,POSTBOP,UP,Steve Coleman,4,4,[4|4],111,1111,[0111|1111]
3,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1111,11,[1111|11]
4,line,POSTBOP,UP,Steve Coleman,2,5,[2|5],11,111,[11|00111]
5,line,POSTBOP,UP,Steve Coleman,5,4,[5|4],111,1110,[00111|1110]
6,line,POSTBOP,UP,Steve Coleman,4,1,[4|1],1110,1,[1110|1]
7,line,POSTBOP,UP,Steve Coleman,1,3,[1|3],1,111,[1|111]
8,line,POSTBOP,UP,Steve Coleman,3,1,[3|1],111,1,[111|1]
9,line,POSTBOP,UP,Steve Coleman,1,3,[1|3],1,11,[1|011]
10,line,POSTBOP,UP,Steve Coleman,3,4,[3|4],11,1110,[011|1110]
11,line,POSTBOP,UP,Steve Coleman,4,6,[4|6],1110,110111,[1110|110111]
12,line,POSTBOP,UP,Steve Coleman,6,1,[6|1],110111,1,[110111|1]
13,line,POSTBOP,UP,Steve Coleman,1,2,[1|2],1,11,[1|11]
14,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1,[11|0001]
15,line,POSTBOP,UP,Steve Coleman,4,3,[4|3],1,11,[0001|011]
16,line,POSTBOP,UP,Steve Coleman,3,0,[3|0],11,0,[011|0]
1,line,POSTBOP,UP,Steve Coleman,3,3,[3|3],11,111,[011|111]
2,line,POSTBOP,UP,Steve Coleman,3,2,[3|2],111,1,[111|01]
3,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],1,110,[01|0110]
4,line,POSTBOP,UP,Steve Coleman,4,4,[4|4],110,1110,[0110|1110]
5,line,POSTBOP,UP,Steve Coleman,4,4,[4|4],1110,111,[1110|0111]
6,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],111,11,[0111|11]
7,line,POSTBOP,UP,Steve Coleman,2,0,[2|0],11,0,[11|0]
1,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,1,[01|01]
2,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
3,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
4,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
5,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1011,[11|1011]
6,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,1,[1011|01]
7,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
8,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,110,[11|0110]
9,line,POSTBOP,UP,Steve Coleman,4,6,[4|6],110,101110,[0110|101110]
10,line,POSTBOP,UP,Steve Coleman,6,4,[6|4],101110,1001,[101110|1001]
11,line,POSTBOP,UP,Steve Coleman,4,4,[4|4],1001,1,[1001|0001]
12,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1,11,[0001|11]
13,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
14,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
15,line,POSTBOP,UP,Steve Coleman,2,3,[2|3],11,110,[11|110]
16,line,POSTBOP,UP,Steve Coleman,3,1,[3|1],110,1,[110|1]
17,line,POSTBOP,UP,Steve Coleman,1,0,[1|0],1,0,[1|0]
1,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1101,[11|1101]
2,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1101,1,[1101|01]
3,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
4,line,POSTBOP,UP,Steve Coleman,2,0,[2|0],11,0,[11|0]
1,line,POSTBOP,UP,Steve Coleman,4,4,[4|4],1011,1011,[1011|1011]
2,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,11,[1011|11]
3,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
4,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],11,11,[11|11]
5,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,11,[11|0011]
6,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],11,1,[0011|01]
7,line,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,11,[01|11]
8,line,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1011,[11|1011]
9,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1011,11,[1011|11]
10,line,POSTBOP,UP,Steve Coleman,2,1,[2|1],11,1,[11|1]
11,line,POSTBOP,UP,Steve Coleman,1,4,[1|4],1,1101,[1|1101]
12,line,POSTBOP,UP,Steve Coleman,4,2,[4|2],1101,1,[1101|01]
13,line,POSTBOP,UP,Steve Coleman,2,0,[2|0],1,0,[01|0]
1,lick,POSTBOP,UP,Steve Coleman,1,2,[1|2],1,11,[1|11]
2,lick,POSTBOP,UP,Steve Coleman,2,4,[2|4],11,1001,[11|1001]
3,lick,POSTBOP,UP,Steve Coleman,4,2,[4|2],1001,1,[1001|01]
4,lick,POSTBOP,UP,Steve Coleman,2,4,[2|4],1,1,[01|0001]
5,lick,POSTBOP,UP,Steve Coleman,4,2,[4|2],1,1,[0001|01]
6,lick,POSTBOP,UP,Steve Coleman,2,4,[2|4],1,1101,[01|1101]
7,lick,POSTBOP,UP,Steve Coleman,4,2,[4|2],1101,1,[1101|01]
8,lick,POSTBOP,UP,Steve Coleman,2,2,[2|2],1,1,[01|01]
9,lick,POSTBOP,UP,Steve Coleman,2,0,[2|0],1,0,[01|0]
1,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1,1101,[0001|1101]
2,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,10,[4|10],1101,1000010011,[1101|1000010011]
3,line,POSTBOP,MEDIUM SLOW,Steve Coleman,10,4,[10|4],1000010011,11,[1000010011|0011]
4,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,3,[4|3],11,110,[0011|110]
5,line,POSTBOP,MEDIUM SLOW,Steve Coleman,3,3,[3|3],110,11,[110|011]
6,line,POSTBOP,MEDIUM SLOW,Steve Coleman,3,4,[3|4],11,1111,[011|1111]
7,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1111,1111,[1111|1111]
8,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1111,11,[1111|0011]
9,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,0,[4|0],11,0,[0011|0]
1,lick,POSTBOP,MEDIUM SLOW,Steve Coleman,6,4,[6|4],11011,111,[011011|0111]
2,lick,POSTBOP,MEDIUM SLOW,Steve Coleman,4,0,[4|0],111,0,[0111|0]
1,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1101,1110,[1101|1110]
2,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1110,1011,[1110|1011]
3,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1011,111,[1011|0111]
4,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,8,[4|8],111,10101,[0111|00010101]
5,line,POSTBOP,MEDIUM SLOW,Steve Coleman,8,6,[8|6],10101,11001,[00010101|011001]
6,line,POSTBOP,MEDIUM SLOW,Steve Coleman,6,4,[6|4],11001,1111,[011001|1111]
7,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1111,1111,[1111|1111]
8,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,2,[4|2],1111,1,[1111|01]
9,line,POSTBOP,MEDIUM SLOW,Steve Coleman,2,4,[2|4],1,1011,[01|1011]
10,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,2,[4|2],1011,1,[1011|01]
11,line,POSTBOP,MEDIUM SLOW,Steve Coleman,2,0,[2|0],1,0,[01|0]
1,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,2,[4|2],1111,11,[1111|11]
2,line,POSTBOP,MEDIUM SLOW,Steve Coleman,2,3,[2|3],11,11,[11|011]
3,line,POSTBOP,MEDIUM SLOW,Steve Coleman,3,3,[3|3],11,11,[011|011]
4,line,POSTBOP,MEDIUM SLOW,Steve Coleman,3,2,[3|2],11,11,[011|11]
5,line,POSTBOP,MEDIUM SLOW,Steve Coleman,2,4,[2|4],11,1101,[11|1101]
6,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1101,1111,[1101|1111]
7,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1111,1110,[1111|1110]
8,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1110,1,[1110|0001]
9,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1,1111,[0001|1111]
10,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1111,1111,[1111|1111]
11,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1111,1011,[1111|1011]
12,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1011,1,[1011|0001]
13,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1,1111,[0001|1111]
14,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,4,[4|4],1111,1001,[1111|1001]
15,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,1,[4|1],1001,1,[1001|1]
16,line,POSTBOP,MEDIUM SLOW,Steve Coleman,1,0,[1|0],1,0,[1|0]
1,line,POSTBOP,MEDIUM SLOW,Steve Coleman,4,8,[4|8],11,10110011,[0011|10110011]
2,line,POSTBOP,MEDIUM SLOW,Steve Coleman,8,4,[8|4],10110011,111,[10110011|0111]
